run,run_name,ga_seed,generation,best_fitness
1,run_01,101,0,112.21422349512156
1,run_01,101,1,70.7280946842582
1,run_01,101,2,70.7280946842582
1,run_01,101,3,64.03986423171659
1,run_01,101,4,64.03986423171659
1,run_01,101,5,62.75893715630974
1,run_01,101,6,62.75893715630974
1,run_01,101,7,62.75893715630974
1,run_01,101,8,59.73325145766242
1,run_01,101,9,58.62578623556685
1,run_01,101,10,58.62578623556685
1,run_01,101,11,55.9620555406629
1,run_01,101,12,55.9620555406629
1,run_01,101,13,55.9620555406629
1,run_01,101,14,55.9620555406629
1,run_01,101,15,55.9620555406629
1,run_01,101,16,55.9620555406629
1,run_01,101,17,54.94018672515752
1,run_01,101,18,54.94018672515752
1,run_01,101,19,54.94018672515752
1,run_01,101,20,54.94018672515752
1,run_01,101,21,54.44357919269356
1,run_01,101,22,54.44357919269356
1,run_01,101,23,54.44357919269356
1,run_01,101,24,54.44357919269356
2,run_02,202,0,57.85016856745522
2,run_02,202,1,57.85016856745522
2,run_02,202,2,55.74504022934619
2,run_02,202,3,55.74504022934619
2,run_02,202,4,55.266229222303686
2,run_02,202,5,55.266229222303686
2,run_02,202,6,55.03493587354368
2,run_02,202,7,53.04980913989433
2,run_02,202,8,53.04980913989433
2,run_02,202,9,53.04980913989433
2,run_02,202,10,53.04980913989433
2,run_02,202,11,53.04980913989433
2,run_02,202,12,53.04980913989433
2,run_02,202,13,53.04980913989433
2,run_02,202,14,53.04980913989433
2,run_02,202,15,52.86482195090889
2,run_02,202,16,52.86482195090889
2,run_02,202,17,52.86482195090889
2,run_02,202,18,52.86482195090889
2,run_02,202,19,52.86482195090889
2,run_02,202,20,52.86482195090889
2,run_02,202,21,52.86482195090889
2,run_02,202,22,52.86482195090889
2,run_02,202,23,52.86482195090889
2,run_02,202,24,52.86482195090889
3,run_03,303,0,170.03210618535587
3,run_03,303,1,79.91250867758447
3,run_03,303,2,74.66719793460231
3,run_03,303,3,73.63012701205844
3,run_03,303,4,65.12312711558943
3,run_03,303,5,62.562730000643185
3,run_03,303,6,59.62709740950356
3,run_03,303,7,55.51678102039974
3,run_03,303,8,55.51678102039974
3,run_03,303,9,55.51678102039974
3,run_03,303,10,55.51678102039974
3,run_03,303,11,55.51678102039974
3,run_03,303,12,55.51678102039974
3,run_03,303,13,55.51678102039974
3,run_03,303,14,55.51678102039974
3,run_03,303,15,55.51678102039974
3,run_03,303,16,55.208872278527664
3,run_03,303,17,55.208872278527664
3,run_03,303,18,55.208872278527664
3,run_03,303,19,55.208872278527664
3,run_03,303,20,54.608350333008126
3,run_03,303,21,52.90911882343038
3,run_03,303,22,52.90911882343038
3,run_03,303,23,52.90911882343038
3,run_03,303,24,52.90911882343038
4,run_04,404,0,70.07515033733674
4,run_04,404,1,56.2293368569401
4,run_04,404,2,56.2293368569401
4,run_04,404,3,56.2293368569401
4,run_04,404,4,56.2293368569401
4,run_04,404,5,56.2293368569401
4,run_04,404,6,55.2382141202181
4,run_04,404,7,55.2382141202181
4,run_04,404,8,55.2382141202181
4,run_04,404,9,53.96132159645699
4,run_04,404,10,53.96132159645699
4,run_04,404,11,53.96132159645699
4,run_04,404,12,53.96132159645699
4,run_04,404,13,53.96132159645699
4,run_04,404,14,53.96132159645699
