method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1222.211917121162,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[247.35429894179893, 1232.8933333333334, 1486.6460000000002, 123.59685947998832, 152.91014492753624, 1216.0416666666667, 161.11972789115646, 1260.3522222222223, 1190.1306753246754, 151.07424242424244]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,1284.552363845305,100.0,20.1,0.3505,3.3,13.696173777203189,27.794605699855698,14.098431922652509,False,15.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.5842314300652145, 2.316673996498971, 1.2608989211596409, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1250.4217647058824, 1273.0222727272728, 1304.0792857142858, 1322.5976666666666, 1305.7585384615384, 1225.2390476190476, 1237.6009523809523, 1313.27612605042, 1288.3384126984126, 1325.1895714285715]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,2,1226.2345099969652,100.0,113.1,0.3705,4.1,12.829967223739601,21.934472222222222,9.104504998482621,False,10.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.8274504268389613, 2.0983573320492717, 1.4479143750346395, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1207.778, 1250.1583333333333, 1213.5339595959597, 1195.3680909090908, 1217.5616507936509, 1217.4464444444445, 1217.5814347826088, 1190.3757692307693, 1229.6039855072463, 1322.937431372549]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1766.4983,100.0,1828.4,0.07830000000000001,1.1,,52.9787037037037,,False,37.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.24844727827057878, 2.4180413767178948, 0.7580357219261107, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1799.449, 1807.55, 1753.489, 1751.2640000000001, 1750.839, 1745.408, 1762.6390000000001, 1763.209, 1767.838, 1763.298]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1423.8518111111111,100.0,90.4,0.2102,2.1,16.254194444444444,48.815,32.560805555555554,False,25.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.7098185345446579, 1.0573728356339642, 2.7424269027572685, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1376.9508888888888, 1384.5346666666667, 1432.523888888889, 1445.422, 1442.8544444444444, 1450.045, 1406.1644444444444, 1438.0944444444444, 1441.4893333333334, 1420.439]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,171.2530826583643,28.790000000000003,2483.7,1.9461778964595375,5.9,10.673214285714284,18.839166666666667,8.16595238095238,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.24762166886449, 2.936877228708673, 0.5316667000396589, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[217.3384024577573, 181.85238095238097, 138.65706605222738, 152.65248917748917, 156.0992795642242, 132.73357843137256, 182.78913690476193, 237.7747386759582, 136.03658963585434, 176.59716473161703]","[31.0, 28.0, 27.900000000000002, 26.400000000000002, 27.1, 27.200000000000003, 32.0, 32.800000000000004, 27.200000000000003, 28.3]"
ga,0,6,1078.857759438085,48.150000000000006,143.9,1.3452197555452248,4.5,14.336230158730157,24.92,10.583769841269843,False,0.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.2515169417782084, 2.1120964969276086, 0.9591750448422096, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[84.16741339209207, 54.72596498209311, 62.574483378256964, 52.013268608414236, 90.21501049922102, 1145.2454444444445, 72.02915543575921, 89.24851190476191, 65.5024861878453, 72.85585554796083]","[38.900000000000006, 35.9, 37.1, 30.900000000000002, 70.3, 100.0, 42.400000000000006, 48.0, 36.2, 41.800000000000004]"
ga,0,7,1264.4860461617502,100.0,40.9,0.3747,3.6,13.372374898922889,25.40554797979798,12.033173080875093,False,13.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.00835136435145, 2.1648207071348886, 1.357579960236201, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1245.5194444444444, 1273.3361818181818, 1291.9470000000001, 1289.0638888888889, 1284.8714285714286, 1253.5743157894738, 1231.2659365079364, 1249.2216666666668, 1219.9273636363637, 1306.1332352941176]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1127.2765160655058,73.72,332.7,0.8656534096431191,4.8,11.449189884189884,20.97712121212121,9.527931327931329,False,1.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.9288029955161683, 2.02257955063204, 1.2544729236112828, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[114.78260694108153, 1186.7689393939395, 1153.104944055944, 1143.4901794871794, 1144.256487179487, 65.37095238095239, 78.89775910364146, 74.29616805170822, 1154.6247138047138, 1157.1724102564103]","[35.4, 100.0, 100.0, 100.0, 100.0, 30.0, 35.7, 36.1, 100.0, 100.0]"
ga,0,9,1356.37918003108,100.0,4.3,0.29660000000000003,2.5,20.340948079698084,37.2747380952381,16.93379001554002,False,22.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.748585197918075, 4.922965710590531, 2.3958834293036615, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1341.4520476190476, 1334.4533333333334, 1389.0821428571428, 1309.121153846154, 1360.934116883117, 1325.838, 1348.7325454545455, 1358.8275714285714, 1363.956, 1431.394888888889]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
