pair_index,w_time,w_fair,weight_label,ga_seed,best_fitness,mean_time,mean_fairness_gap,mean_collisions,mean_congestion,accel_factor,agent_rep_weight,agent_radius,all_evacuated
1,1.0,0.0,"(1, 0)",101,36.32781851928013,33.24,9.760714285714286,24.3,1.8728185192801228,3.24041820996292,4.6147103367432925,0.9358902966136824,True
1,1.0,0.0,"(1, 0)",202,35.06916032113669,30.889999999999997,9.382738095238096,45.9,1.8841603211366984,4.061308419922206,5.0,0.8901604265526191,True
1,1.0,0.0,"(1, 0)",303,37.03090139540082,32.74,9.757142857142858,51.5,1.715901395400813,2.733923503237671,3.555144265589498,0.8799095566692318,True
1,1.0,0.0,"(1, 0)",404,36.84826308952923,32.29,9.015952380952381,55.9,1.7632630895292347,3.041167919373871,3.386995581571286,0.9365780766198214,True
1,1.0,0.0,"(1, 0)",505,35.78768361118385,32.720000000000006,9.585238095238097,24.6,1.8376836111838455,3.524343954562413,4.479658101250224,0.9347427693292863,True
2,1.0,0.5,"(1, 0.5)",101,39.93611640582186,31.410000000000004,8.597142857142858,49.3,1.7625449772504342,3.175235420194494,3.942737408830337,0.8749269427505006,True
2,1.0,0.5,"(1, 0.5)",202,39.633875965751024,31.950000000000006,9.105833333333333,27.5,1.7559592990843556,3.5278064568457665,4.692074372665244,0.9150242144002736,True
2,1.0,0.5,"(1, 0.5)",303,39.71906856751945,31.169999999999998,8.970714285714285,45.1,1.8087114246623137,3.2052405103606643,3.9114589194043905,0.8829790471339726,True
2,1.0,0.5,"(1, 0.5)",404,41.30534332902511,32.57,9.163214285714286,49.4,1.6837361861679714,2.8947294673962873,3.421171920413661,0.9208954157239871,True
2,1.0,0.5,"(1, 0.5)",505,40.25494256399107,32.42,8.822976190476192,32.3,1.8084544687529729,3.512527037952683,4.553513460524062,0.9061923851819789,True
3,1.0,1.0,"(1, 1)",101,45.52252607937829,31.330000000000002,8.821547619047621,71.3,1.8059784603306628,3.4809031952168334,3.8428537236511593,0.8928525716687161,True
3,1.0,1.0,"(1, 1)",202,44.74312117477381,31.080000000000002,8.520000000000001,64.5,1.9181211747738114,3.771064234253007,4.4104803388310465,0.8743917161645633,True
3,1.0,1.0,"(1, 1)",303,45.959686153372495,32.7,9.114166666666668,48.2,1.7355194867058252,2.847689265018116,3.3766537920327053,0.9242349905502372,True
3,1.0,1.0,"(1, 1)",404,44.36881099338806,31.21,8.84142857142857,49.2,1.8573824219594868,3.4728868307208556,4.16249937426182,0.8801475306336084,True
3,1.0,1.0,"(1, 1)",505,44.01104225010616,31.060000000000002,8.900238095238095,41.9,1.9558041548680616,3.512960062748286,4.517841856167422,0.8886044537313669,True
4,1.0,2.0,"(1, 2)",101,54.44357919269356,32.3,9.356071428571429,34.0,1.7314363355507065,3.0501255794466564,4.0255429294388465,0.8850720789867081,True
4,1.0,2.0,"(1, 2)",202,52.86482195090889,30.620000000000005,8.979285714285714,48.5,1.8612505223374651,4.046374523775032,5.0,0.8835339642026272,True
4,1.0,2.0,"(1, 2)",303,52.90911882343038,31.46,8.533928571428572,51.6,1.8012616805732442,3.200985602958106,3.8199879818094393,0.8861418742271526,True
4,1.0,2.0,"(1, 2)",404,52.4417029563639,30.93,8.68345238095238,47.0,1.7947981944591338,3.140102795379023,3.9475245289608107,0.8784370911046397,True
4,1.0,2.0,"(1, 2)",505,52.889187591404415,30.49,8.677142857142858,63.9,1.849901877118695,4.154290000530201,4.50711429956322,0.8941803721812824,True
5,0.0,1.0,"(0, 1)",101,12.4015271025074,35.38,9.75202380952381,19.9,1.65450329298359,2.5859602391420373,4.307652932275605,0.9139086687834715,True
5,0.0,1.0,"(0, 1)",202,11.725184125514954,32.34,8.718809523809526,25.5,1.7313746017054286,3.64686121133384,4.7411652752597675,0.9174918726901772,True
5,0.0,1.0,"(0, 1)",303,12.451078464085459,34.3,9.552380952380952,24.8,1.6586975117045053,2.7332960976752196,3.834052550174368,0.9130452600783056,True
5,0.0,1.0,"(0, 1)",404,12.761567842209862,36.730000000000004,9.854047619047622,26.0,1.6075202231622403,2.429372455374748,3.9724131685514306,0.9256155833705396,True
5,0.0,1.0,"(0, 1)",505,11.821842496851406,31.869999999999997,8.992619047619048,21.9,1.7342234492323598,3.6461576623598186,5.0,0.920838062619316,True
