method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1201.140613080758,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[235.0662037037037, 1212.185, 1466.14, 112.54447852760737, 137.34347826086957, 1193.247, 133.88877551020408, 1226.63, 1171.456, 122.90519480519481]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,1256.3555,100.0,20.1,0.3505,3.3,13.696173777203189,27.794605699855698,14.098431922652509,False,15.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.5842314300652145, 2.316673996498971, 1.2608989211596409, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1235.09, 1251.195, 1280.64, 1300.881, 1280.897, 1201.62, 1210.92, 1260.661, 1270.74, 1270.911]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,2,1208.0255,100.0,113.1,0.3705,4.1,12.829967223739601,21.934472222222222,9.104504998482621,False,10.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.8274504268389613, 2.0983573320492717, 1.4479143750346395, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1194.078, 1228.865, 1194.738, 1182.599, 1203.768, 1196.002, 1195.826, 1163.345, 1217.575, 1303.459]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1566.4983,100.0,1828.4,0.07830000000000001,1.1,,52.9787037037037,,False,37.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.24844727827057878, 2.4180413767178948, 0.7580357219261107, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1599.449, 1607.55, 1553.489, 1551.2640000000001, 1550.839, 1545.408, 1562.6390000000001, 1563.209, 1567.838, 1563.298]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1358.7302,100.0,90.4,0.2102,2.1,16.254194444444444,48.815,32.560805555555554,False,25.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.7098185345446579, 1.0573728356339642, 2.7424269027572685, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1336.437, 1333.993, 1353.435, 1381.3220000000001, 1373.31, 1373.255, 1340.945, 1360.45, 1392.316, 1341.839]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,154.92117789645954,28.790000000000003,2483.7,1.9461778964595375,5.9,10.673214285714284,18.839166666666667,8.16595238095238,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.24762166886449, 2.936877228708673, 0.5316667000396589, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[205.0193548387097, 167.84285714285716, 123.92849462365594, 139.49772727272727, 144.05166051660515, 113.31691176470589, 158.58437500000002, 218.38902439024392, 121.3889705882353, 157.19240282685513]","[31.0, 28.0, 27.900000000000002, 26.400000000000002, 27.1, 27.200000000000003, 32.0, 32.800000000000004, 27.200000000000003, 28.3]"
ga,0,6,1057.6902197555453,48.150000000000006,143.9,1.3452197555452248,4.5,14.336230158730157,24.92,10.583769841269843,False,0.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.2515169417782084, 2.1120964969276086, 0.9591750448422096, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[63.41979434447301, 39.440250696378826, 40.64353099730458, 42.11326860841424, 72.71977240398293, 1121.201, 46.63867924528302, 58.143750000000004, 45.70248618784531, 46.87966507177034]","[38.900000000000006, 35.9, 37.1, 30.900000000000002, 70.3, 100.0, 42.400000000000006, 48.0, 36.2, 41.800000000000004]"
ga,0,7,1240.4197,100.0,40.9,0.3747,3.6,13.372374898922889,25.40554797979798,12.033173080875093,False,13.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.00835136435145, 2.1648207071348886, 1.357579960236201, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1226.955, 1251.118, 1271.257, 1263.215, 1261.72, 1232.398, 1202.158, 1212.005, 1201.066, 1282.305]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1108.220653409643,73.72,332.7,0.8656534096431191,4.8,11.449189884189884,20.97712121212121,9.527931327931329,False,1.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.9288029955161683, 2.02257955063204, 1.2544729236112828, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[94.93022598870057, 1166.975, 1135.749, 1130.853, 1130.477, 44.806666666666665, 51.60014005602241, 52.62950138504155, 1139.42, 1134.766]","[35.4, 100.0, 100.0, 100.0, 100.0, 30.0, 35.7, 36.1, 100.0, 100.0]"
ga,0,9,1322.5116,100.0,4.3,0.29660000000000003,2.5,20.340948079698084,37.2747380952381,16.93379001554002,False,22.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.748585197918075, 4.922965710590531, 2.3958834293036615, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1310.533, 1310.76, 1350.35, 1290.375, 1320.651, 1280.518, 1330.478, 1320.449, 1350.616, 1360.386]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
