method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1206.408439090859,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[238.13822751322752, 1217.3620833333334, 1471.2665000000002, 115.3075737657026, 141.23514492753625, 1198.9456666666667, 140.6965136054422, 1235.0605555555555, 1176.124668831169, 129.94745670995673]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,161.873567301946,28.740000000000002,2538.4,2.0259482543269174,6.0,10.733928571428573,19.109166666666667,8.375238095238094,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.2670725391884385, 3.5463567673223793, 0.5435633775441666, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[254.0373271889401, 163.19404761904764, 124.17775857654891, 139.6106277056277, 148.2874934106484, 131.19285714285715, 172.49709915611814, 212.8388667098259, 122.11281512605044, 150.78678038379533]","[31.0, 28.0, 27.900000000000002, 27.5, 27.1, 27.200000000000003, 31.6, 33.1, 27.200000000000003, 26.8]"
ga,0,2,1181.6800969587175,100.0,62.3,0.40069999999999995,4.1,12.892314668423364,23.221108585858595,10.328793917435222,False,7.3,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.996182265488238, 3.9185400104340022, 1.775283443634367, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1174.988, 1227.3381111111112, 1177.5411111111111, 1170.497996047431, 1183.7910909090908, 1158.4927727272727, 1167.3936666666666, 1181.54425, 1165.7226666666666, 1209.4913043478261]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,3,1416.6738047619046,100.0,20.0,0.1709,1.7,22.484833333333334,51.49064285714286,29.005809523809525,False,30.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.4836436965475905, 1.7054298579632348, 2.5148508456092156, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1413.8801904761906, 1402.0114285714285, 1434.7845, 1388.138, 1432.078, 1429.4161428571429, 1387.7322857142858, 1416.4118333333333, 1422.7333333333333, 1439.5523333333333]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,4,1242.586262105911,100.0,6.4,0.3271,3.2,13.738608327860652,25.616932539682544,11.87832421182189,False,13.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.4138971831347744, 4.032910843487287, 2.936932299349427, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1245.982, 1246.732954248366, 1276.16075, 1234.6172941176471, 1244.4188045112783, 1196.3942626262626, 1226.37825, 1261.2455, 1246.8364722222223, 1247.0963333333334]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,1100.6512100262325,53.989999999999995,609.3,1.1729308054533143,5.0,12.221699134199135,22.268257575757577,10.046558441558442,False,1.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.9149610112697584, 1.239330339312601, 1.2389044327085734, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[121.51546643247464, 1181.925909090909, 1136.0955016835017, 57.53305609915199, 55.9974368318756, 66.79561994609165, 78.58092105263157, 71.81849999999999, 1173.7776195286197, 62.4720695970696]","[36.6, 100.0, 100.0, 29.200000000000003, 34.300000000000004, 31.8, 38.0, 37.5, 100.0, 32.5]"
ga,0,6,1128.2612091661326,87.76,151.1,0.6376543875777565,4.0,13.185087412587412,23.80219696969697,10.61710955710956,False,2.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.249659238483234, 2.6030481126670924, 2.1351886210306423, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1143.5424871794871, 1170.1127575757575, 1138.0900489510489, 1146.0718333333334, 1167.5786515151515, 1142.2718333333332, 57.51611046057767, 1131.2153333333333, 52.8719334151999, 1133.3411025641026]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 42.7, 100.0, 34.9, 100.0]"
ga,0,7,1299.989554371364,100.0,4.3,0.3734,3.0,17.178691257272142,31.981000000000005,14.802308742727863,False,19.2,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.9082323322730466, 4.091224580865629, 1.6450724942504817, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1294.1463846153847, 1288.0138333333334, 1347.4626666666668, 1294.6956538461538, 1287.3375714285714, 1276.6288749999999, 1259.1608529411765, 1286.9573725490195, 1323.9278333333334, 1341.5645]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,1299.3029858667476,100.0,4.3,0.40040000000000003,2.7,20.155248901425374,31.530420634920638,11.375171733495263,False,19.3,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.141811451897227, 4.879793001734997, 1.7240814628528023, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1334.1632424242425, 1267.374857142857, 1333.9992424242425, 1307.2281538461539, 1316.0907727272727, 1271.5309215686275, 1248.402065359477, 1259.6660317460316, 1313.9805714285715, 1340.594]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,9,1311.51542987013,100.0,4.3,0.3353,2.9,15.675073593073595,27.605333333333334,11.930259740259741,False,20.5,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.090534738335224, 4.110054388976939, 1.7974123062003358, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 0.5, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1268.9693333333332, 1297.1401428571428, 1335.5287272727273, 1323.865857142857, 1285.886761904762, 1306.347, 1317.1875714285713, 1300.2683333333334, 1314.4540714285715, 1365.5065]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
