method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,fitness_weights,per_seed_fitnesses,per_seed_total_times
ga,0,0,1222.211917121162,70.78,2267.1,1.005613080757952,4.8,15.55843888888889,26.09409090909091,10.53565202020202,False,1.6,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[2.0, 0.5, 2.0, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[247.35429894179893, 1232.8933333333334, 1486.6460000000002, 123.59685947998832, 152.91014492753624, 1216.0416666666667, 161.11972789115646, 1260.3522222222223, 1190.1306753246754, 151.07424242424244]","[43.2, 100.0, 100.0, 32.6, 36.800000000000004, 100.0, 49.0, 100.0, 100.0, 46.2]"
ga,0,1,177.01757550385162,30.920000000000005,2542.0,1.938765980042093,5.8,11.968928571428574,20.498333333333335,8.529404761904761,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.1017151499927595, 0.17693229231962446, 0.9692239422048241, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[183.4185328185328, 192.12604166666665, 155.04364014062003, 172.2782369804109, 186.8534013605442, 131.60455635491607, 176.8004719004719, 218.84190476190477, 178.03851956624237, 175.1704494882065]","[29.6, 32.0, 29.8, 29.900000000000002, 29.400000000000002, 27.8, 33.300000000000004, 35.0, 30.3, 32.1]"
ga,0,2,131.3621734991108,28.320000000000004,1691.3,1.8781258800631846,6.1,10.364642857142858,18.664166666666667,8.29952380952381,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.303661316251512, 0.4733733079122899, 1.0027256111135603, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[163.63753799392097, 108.63313492063492, 117.52343358395991, 111.28992673992674, 141.42556935817808, 110.70763486206292, 148.39570802005014, 180.68814016172507, 112.09523809523809, 119.22541125541125]","[28.200000000000003, 28.8, 28.5, 26.0, 27.6, 27.1, 30.400000000000002, 31.8, 27.3, 27.5]"
ga,0,3,135.53109129717197,29.920000000000005,1716.5,1.8256151066957842,5.7,11.396428571428572,20.376666666666665,8.980238095238095,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.1874948969280275, 0.5829544542527741, 0.8805110112757493, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[221.03089171974523, 116.48780487804879, 95.30327380952382, 126.62460896767467, 100.85551206784085, 108.71478245974649, 174.17886382623226, 164.73539488966318, 126.31843629343629, 121.06134405980822]","[31.400000000000002, 28.700000000000003, 28.8, 27.400000000000002, 29.200000000000003, 27.8, 34.2, 32.800000000000004, 29.6, 29.3]"
ga,0,4,1324.4572375452033,100.0,268.3,0.29410000000000003,3.0,18.836201068668174,33.71026984126984,14.874068772601666,False,18.1,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.9832005363222741, 0.7464491012881598, 2.9602924489973894, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1355.1122727272727, 1297.683, 1339.7920769230768, 1325.2523247863248, 1324.595, 1322.0015714285714, 1328.0849206349208, 1324.4263157894736, 1308.5500598290598, 1319.0748333333333]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,5,1117.4780247912854,59.18999999999998,567.4,1.0878879947487365,4.6,11.277961904761906,20.693030303030305,9.4150683982684,False,1.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[3.8492507347866045, 1.3419927822286823, 1.7265524594737474, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[101.6673139158576, 1177.841, 1158.9029696969696, 68.69880952380953, 63.051785714285714, 1171.94, 86.05734989648033, 113.46244409365957, 1154.8286363636364, 78.32993870815653]","[30.900000000000002, 100.0, 100.0, 28.0, 32.0, 100.0, 34.5, 36.2, 100.0, 30.3]"
ga,0,6,1338.5085131580838,100.0,22.2,0.25839999999999996,2.5,18.037748976513683,34.60780555555555,16.570056579041875,False,20.4,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[1.134305400820011, 1.866378712812811, 2.782813236961598, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1356.7060000000001, 1289.2791538461538, 1343.449, 1295.9302857142857, 1317.9932307692306, 1370.2145555555555, 1351.9835555555555, 1325.139588235294, 1385.5783333333334, 1348.8114285714287]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,7,1448.0791952380953,100.0,99.2,0.2141,2.0,24.562500000000004,52.01504761904762,27.452547619047625,False,28.8,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[0.4075568374815794, 1.0858105160969787, 1.1651425866173257, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[1421.6742857142858, 1440.588, 1406.394, 1457.1262857142856, 1421.667, 1438.8, 1471.1936666666666, 1550.2336666666667, 1426.9409047619047, 1446.174142857143]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
ga,0,8,82.47603523363966,28.8,679.0,1.9017495193539418,5.7,10.865357142857144,19.7775,8.912142857142857,True,0.0,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.786022916012035, 3.941147615245255, 0.7713103862719637, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[113.3911972359922, 98.73208692873122, 60.99830537197085, 95.50767195767196, 75.18406593406594, 62.64391534391534, 91.21871713985279, 80.93759954493743, 73.9708487084871, 72.17594417077176]","[31.700000000000003, 29.8, 28.1, 27.0, 27.3, 27.0, 31.700000000000003, 29.3, 27.1, 29.0]"
ga,0,9,1094.6099203755612,44.43000000000001,467.0,1.3918892400301086,4.6,11.274317765567767,20.493333333333336,9.219015567765569,False,0.7,hospital_corridor,28,12,"[11, 29, 47, 53, 61, 73, 89, 97, 101, 109]","[4.457276456766421, 1.9621878095906813, 1.3226033323908923, 0.5, 1.0]","{""time"": 1.0, ""collisions"": 0.05, ""congestion"": 1.0, ""fairness"": 2.0, ""incomplete_base"": 1000.0, ""incomplete_agent"": 10.0}","[94.02552822453484, 1171.077, 1159.6656923076923, 59.542127215849845, 61.49818236442842, 78.35101108936726, 89.33301679053125, 91.13839662447258, 66.4204433497537, 75.04780578898226]","[30.200000000000003, 100.0, 100.0, 27.400000000000002, 31.700000000000003, 29.200000000000003, 34.6, 31.6, 29.0, 30.6]"
