method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,per_seed_fitnesses,per_seed_total_times
default,0,0,24.40963473239546,13.566666666666668,47.333333333333336,1.5163013990621248,5.0,2.4433333333333334,5.923333333333335,3.4800000000000004,True,0.0,standard,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[26.651666666666664, 21.845464480874316, 24.731773049645394]","[14.4, 12.200000000000001, 14.100000000000001]"
heuristic_1,0,0,33.60134088261145,21.8,24.666666666666668,1.3568964381670063,5.333333333333333,3.4077777777777776,8.013333333333334,4.605555555555555,True,0.0,standard,30,10,"[11, 29, 47]","[1.8, 0.9, 1.2, 2.2, 0.7, 1.0]","[32.05428571428571, 31.004384236453205, 37.745352697095434]","[21.0, 20.3, 24.1]"
heuristic_2,0,1,23.720782731764523,14.433333333333332,24.666666666666668,1.1230049539867466,4.333333333333333,2.3911111111111114,5.8566666666666665,3.4655555555555555,True,0.0,standard,30,10,"[11, 29, 47]","[2.4, 1.1, 0.9, 1.6, 0.9, 1.2]","[24.44965517241379, 21.298822055137848, 25.41387096774194]","[14.5, 13.3, 15.5]"
random,0,0,19.20666666666667,12.600000000000001,16.0,0.0,0.0,1.5,4.403333333333333,2.9033333333333338,True,0.0,standard,30,10,"[11, 29, 47]","[3.3279568073944543, 1.8624625369423615, 2.4688478097763036, 2.313525415707673, 2.823696885022744, 1.8508628635418067]","[21.196666666666665, 15.143333333333336, 21.28]","[13.5, 10.700000000000001, 13.600000000000001]"
random,0,1,1101.7425320197044,50.0,28.666666666666668,2.038,6.333333333333333,4.450996168582376,4.966825396825397,0.8022660098522164,False,4.666666666666667,standard,30,10,"[11, 29, 47]","[3.446604801222832, 0.7819127797024589, 1.9002184530853303, 2.9048875831478003, 4.795745929420964, 1.0769551955466]","[1115.0833103448276, 1094.0782857142858, 1096.066]","[50.0, 50.0, 50.0]"
random,0,2,28.895272904483427,19.333333333333332,15.0,0.8052729044834308,4.0,3.19,7.193333333333334,4.003333333333333,True,0.0,standard,30,10,"[11, 29, 47]","[3.8969489312716656, 1.1107325955897949, 4.471042764701724, 2.7528485415603234, 0.8924436123357669, 1.8846701775423649]","[30.185, 24.14730994152047, 32.353508771929825]","[20.0, 17.1, 20.900000000000002]"
random,0,3,1094.8324444444445,50.0,33.0,1.6580000000000001,4.333333333333333,2.465555555555556,3.227777777777778,0.7622222222222224,False,4.0,standard,30,10,"[11, 29, 47]","[3.840457389618836, 1.113328231045459, 1.7665596646617685, 1.0450152040961407, 4.277354905253864, 1.67100246416183]","[1094.0126666666667, 1094.3906666666667, 1096.094]","[50.0, 50.0, 50.0]"
random,0,4,25.320307665811022,15.033333333333333,16.333333333333332,1.645863221366577,5.666666666666667,2.5811111111111114,6.493333333333333,3.9122222222222223,True,0.0,standard,30,10,"[11, 29, 47]","[4.949261376709117, 0.8763561793729966, 1.9655904314174122, 2.1177705013849772, 0.43714253175933215, 1.6532089958043747]","[25.2779418344519, 24.48207207207207, 26.200909090909093]","[14.9, 14.8, 15.4]"
random,0,5,21.719703787026624,12.566666666666668,20.666666666666668,1.2863704536932883,4.333333333333333,2.14,5.5566666666666675,3.4166666666666665,True,0.0,standard,30,10,"[11, 29, 47]","[2.993194371882504, 1.1001422631861602, 1.2112353201020076, 1.0161546114710767, 0.7484008289054546, 1.8091044306556376]","[20.903333333333336, 22.133809523809525, 22.12196850393701]","[12.4, 12.600000000000001, 12.700000000000001]"
random,0,6,26.702498622888946,14.799999999999999,19.333333333333332,2.3691652895556112,6.666666666666667,2.5600000000000005,6.843333333333334,4.283333333333334,True,0.0,standard,30,10,"[11, 29, 47]","[4.660037938223581, 0.7364129485981732, 1.6269327592539968, 1.2963383122126142, 0.7702469247587272, 1.1706729092133665]","[25.647156177156177, 28.128684210526316, 26.33165548098434]","[14.3, 15.200000000000001, 14.9]"
random,0,7,1102.5227301587302,50.0,47.666666666666664,4.520666666666666,7.333333333333333,6.638888888888889,7.0304761904761905,1.1426984126984125,False,4.333333333333333,standard,30,10,"[11, 29, 47]","[2.850612830414764, 0.647369781624171, 4.539661612444846, 0.5196394735175334, 1.608933241541287, 0.8202951692367363]","[1109.1633333333334, 1089.3315238095238, 1109.0733333333333]","[50.0, 50.0, 50.0]"
random,0,8,1151.0607513227512,50.0,17.0,2.5366666666666666,7.0,7.891407407407409,4.05436507936508,3.837042328042329,False,9.0,standard,30,10,"[11, 29, 47]","[2.188038979990134, 0.5466348487509828, 4.663398571356765, 1.9249236827586897, 2.407137050336261, 1.6207940156399858]","[1150.4074074074074, 1121.1241798941799, 1181.6506666666667]","[50.0, 50.0, 50.0]"
random,0,9,20.335555555555555,13.600000000000001,12.666666666666666,0.0,0.0,2.178888888888889,5.23,3.0511111111111107,True,0.0,standard,30,10,"[11, 29, 47]","[4.336652591120656, 1.4996894679161565, 4.124348779091085, 1.9575035644550915, 0.6982862608302215, 1.7499742171595103]","[20.863333333333333, 17.68, 22.463333333333335]","[13.9, 12.700000000000001, 14.200000000000001]"
random,0,10,20.424456369126617,10.966666666666667,38.666666666666664,0.77112303579328,4.666666666666667,1.656666666666667,5.033333333333333,3.376666666666667,True,0.0,standard,30,10,"[11, 29, 47]","[4.051273156299861, 1.2595102504752598, 0.6312124741338969, 2.616515668924486, 0.9335760046048079, 0.7378835885736322]","[21.046666666666667, 19.65685534591195, 20.569847094801226]","[11.4, 10.600000000000001, 10.9]"
random,0,11,23.2,16.3,28.666666666666668,0.0,0.0,2.7899999999999996,5.523333333333333,2.733333333333333,True,0.0,standard,30,10,"[11, 29, 47]","[0.7146140412379189, 1.7205446031701093, 1.2359874170559326, 2.1189307279155023, 2.6287403433959304, 0.8294847161036578]","[26.0, 16.363333333333337, 27.236666666666665]","[17.7, 13.600000000000001, 17.6]"
random,0,12,27.68888888888889,20.433333333333334,14.0,0.0,0.0,3.755555555555556,7.033333333333334,3.277777777777778,True,0.0,standard,30,10,"[11, 29, 47]","[0.5960427702223228, 1.5019053042906725, 2.786840382632618, 2.3285113783728004, 0.14610566346530046, 0.8184147228326842]","[31.643333333333338, 20.67666666666667, 30.74666666666667]","[22.6, 17.400000000000002, 21.3]"
