method,generation,individual_id,fitness,total_time,near_collisions,mean_congestion,peak_congestion,mean_high_time,mean_low_time,fairness_gap_time,all_evacuated,remaining_agents,layout,num_high,num_low,seed_list,params,per_seed_fitnesses,per_seed_total_times
default,0,0,1109.7128571428573,50.0,0.0,0.4166666666666667,2.6666666666666665,10.523333333333333,28.504761904761907,17.98142857142857,False,2.3333333333333335,corridor,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[1113.8995238095238, 1101.8946666666666, 1113.344380952381]","[50.0, 50.0, 50.0]"
heuristic_1,0,0,1133.0493968253968,50.0,0.0,0.9906666666666667,2.6666666666666665,11.261111111111111,30.623809523809523,19.36269841269841,False,4.333333333333333,corridor,30,10,"[11, 29, 47]","[1.8, 0.9, 1.2, 2.2, 0.7, 1.0]","[1142.7686666666666, 1138.0406666666668, 1118.3388571428573]","[50.0, 50.0, 50.0]"
heuristic_2,0,0,1109.4894179894181,50.0,0.0,0.36000000000000004,2.3333333333333335,10.496666666666668,28.394708994708996,17.898042328042326,False,2.3333333333333335,corridor,30,10,"[11, 29, 47]","[2.4, 1.1, 0.9, 1.6, 0.9, 1.2]","[1113.5832380952381, 1101.4637777777778, 1113.421238095238]","[50.0, 50.0, 50.0]"
random_best,0,0,1108.0621164021165,50.0,0.0,0.0,0.0,10.25888888888889,27.623280423280423,17.364391534391537,False,2.3333333333333335,corridor,30,10,"[11, 29, 47]","[3.3279568073944543, 1.8624625369423615, 2.4688478097763036, 2.313525415707673, 2.823696885022744, 1.8508628635418067]","[1111.5933333333332, 1101.3244444444445, 1111.2685714285715]","[50.0, 50.0, 50.0]"
ga_best,0,0,1108.707544973545,50.0,0.0,0.37399999999999994,2.6666666666666665,10.542222222222223,28.04232804232804,17.50010582010582,False,2.3333333333333335,corridor,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.1, 1.0]","[1112.930761904762, 1101.1851111111112, 1112.0067619047618]","[50.0, 50.0, 50.0]"
default,0,0,1153.5564444444444,50.0,0.3333333333333333,0.3153333333333333,3.3333333333333335,17.656666666666666,40.93555555555556,23.27888888888889,False,5.666666666666667,asymmetric,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[1146.3893333333333, 1172.05, 1142.23]","[50.0, 50.0, 50.0]"
heuristic_1,0,0,1172.779111111111,50.0,0.0,0.6546666666666666,3.0,18.337777777777777,37.73333333333333,19.395555555555557,False,8.333333333333334,asymmetric,30,10,"[11, 29, 47]","[1.8, 0.9, 1.2, 2.2, 0.7, 1.0]","[1169.3266666666666, 1177.99, 1171.0206666666668]","[50.0, 50.0, 50.0]"
heuristic_2,0,0,1153.4273333333335,50.0,0.0,0.26733333333333337,2.6666666666666665,17.555555555555554,40.80222222222222,23.24666666666667,False,5.666666666666667,asymmetric,30,10,"[11, 29, 47]","[2.4, 1.1, 0.9, 1.6, 0.9, 1.2]","[1146.1593333333333, 1172.1613333333335, 1141.9613333333334]","[50.0, 50.0, 50.0]"
random_best,0,0,1149.8944444444444,50.0,0.0,0.0,0.0,17.294444444444444,40.57500000000001,23.280555555555555,False,5.333333333333333,asymmetric,30,10,"[11, 29, 47]","[3.3279568073944543, 1.8624625369423615, 2.4688478097763036, 2.313525415707673, 2.823696885022744, 1.8508628635418067]","[1145.1666666666667, 1164.1833333333334, 1140.3333333333333]","[50.0, 50.0, 50.0]"
ga_best,0,0,1153.42,50.0,0.0,0.3,3.0,17.65111111111111,40.87777777777777,23.22666666666667,False,5.666666666666667,asymmetric,30,10,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.1, 1.0]","[1146.3113333333333, 1171.6766666666667, 1142.272]","[50.0, 50.0, 50.0]"
default,0,0,32.17747246800771,18.400000000000002,46.0,1.5674724680077043,5.333333333333333,2.335,7.290000000000002,4.954999999999999,True,0.0,standard,20,20,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[33.434736842105266, 30.670112994350283, 32.42756756756757]","[19.0, 17.7, 18.5]"
heuristic_1,0,0,43.33946510918635,28.700000000000003,28.0,1.2894651091863498,5.0,3.566666666666667,9.541666666666668,5.9750000000000005,True,0.0,standard,20,20,"[11, 29, 47]","[1.8, 0.9, 1.2, 2.2, 0.7, 1.0]","[42.77151291512915, 41.28849315068493, 45.95838926174497]","[27.1, 29.200000000000003, 29.8]"
heuristic_2,0,0,31.341951669010314,19.433333333333337,36.0,1.0886183356769712,4.333333333333333,2.486666666666667,6.996666666666667,4.510000000000001,True,0.0,standard,20,20,"[11, 29, 47]","[2.4, 1.1, 0.9, 1.6, 0.9, 1.2]","[32.940049751243784, 28.210327868852456, 32.875477386934676]","[20.1, 18.3, 19.900000000000002]"
random_best,0,0,24.31666666666667,16.46666666666667,26.0,0.0,0.0,1.5166666666666668,4.791666666666667,3.275,True,0.0,standard,20,20,"[11, 29, 47]","[3.3279568073944543, 1.8624625369423615, 2.4688478097763036, 2.313525415707673, 2.823696885022744, 1.8508628635418067]","[25.92, 20.91, 26.120000000000005]","[17.2, 15.3, 16.900000000000002]"
ga_best,0,0,28.931185866997836,16.433333333333334,35.0,1.5678525336644995,5.333333333333333,2.331666666666667,6.921666666666667,4.590000000000001,True,0.0,standard,20,20,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.1, 1.0]","[29.941952662721896, 27.92432098765432, 28.927283950617287]","[16.900000000000002, 16.2, 16.2]"
default,0,0,32.680229356119526,17.400000000000002,140.66666666666666,1.988562689452851,7.666666666666667,3.0058333333333334,6.135000000000001,3.1291666666666664,True,0.0,standard,40,20,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.5, 1.0]","[33.445813953488376, 35.065483870967746, 29.52939024390244]","[17.2, 18.6, 16.400000000000002]"
heuristic_1,0,0,1055.2603820109487,34.666666666666664,84.33333333333333,1.9135192658506357,8.666666666666666,4.671666666666667,6.9034313725490195,2.231764705882353,False,1.0,standard,40,20,"[11, 29, 47]","[1.8, 0.9, 1.2, 2.2, 0.7, 1.0]","[35.371075949367096, 43.50348184818482, 1086.906588235294]","[23.700000000000003, 30.3, 50.0]"
heuristic_2,0,0,31.435759584820914,18.666666666666668,102.33333333333333,1.4357595848209115,6.666666666666667,2.935,6.043333333333334,3.108333333333334,True,0.0,standard,40,20,"[11, 29, 47]","[2.4, 1.1, 0.9, 1.6, 0.9, 1.2]","[31.557459893048126, 31.88364864864865, 30.86617021276596]","[18.7, 18.5, 18.8]"
random_best,0,0,21.67166666666667,14.966666666666669,66.66666666666667,0.0,0.0,2.0591666666666666,3.7449999999999997,1.6858333333333337,True,0.0,standard,40,20,"[11, 29, 47]","[3.3279568073944543, 1.8624625369423615, 2.4688478097763036, 2.313525415707673, 2.823696885022744, 1.8508628635418067]","[22.32, 23.375, 19.32]","[15.4, 15.8, 13.700000000000001]"
ga_best,0,0,29.474137461834598,15.366666666666667,124.33333333333333,2.219137461834595,7.666666666666667,3.000833333333334,5.836666666666667,2.8358333333333334,True,0.0,standard,40,20,"[11, 29, 47]","[2.0, 1.0, 0.5, 2.0, 0.1, 1.0]","[31.432258064516127, 31.06932098765432, 25.920833333333334]","[15.5, 16.2, 14.4]"
